,SalePrice,Lot.Area,Gr.Liv.Area,Heating.QC,Central.Air
0,215000,31770,1656,Tipico_pobre,SI
1,105000,11622,896,Tipico_pobre,SI
2,172000,14267,1329,Tipico_pobre,SI
3,244000,11160,2110,Excelente,SI
4,189900,13830,1629,Bueno,SI
5,195500,9978,1604,Excelente,SI
6,213500,4920,1338,Excelente,SI
7,191500,5005,1280,Excelente,SI
8,236500,5389,1616,Excelente,SI
9,189000,7500,1804,Bueno,SI
10,175900,10000,1655,Bueno,SI
11,185000,7980,1187,Excelente,SI
12,180400,8402,1465,Bueno,SI
13,171500,10176,1341,Bueno,SI
14,212000,6820,1502,Tipico_pobre,SI
15,538000,53504,3279,Excelente,SI
16,164000,12134,1752,Bueno,SI
17,394432,11394,1856,Excelente,SI
18,141000,19138,864,Excelente,SI
19,210000,13175,2073,Tipico_pobre,SI
20,190000,11751,1844,Excelente,SI
21,170000,10625,1173,Tipico_pobre,SI
22,216000,7500,1674,Excelente,SI
23,149000,11241,1004,Excelente,SI
24,149900,12537,1078,Excelente,SI
25,142000,8450,1056,Excelente,SI
26,126000,8400,882,Tipico_pobre,SI
27,115000,10500,864,Tipico_pobre,SI
28,184000,5858,1337,Excelente,SI
29,96000,1680,987,Tipico_pobre,SI
30,105500,1680,1092,Tipico_pobre,SI
31,88000,1680,1092,Tipico_pobre,SI
32,127500,4043,1069,Tipico_pobre,SI
33,149900,2280,1456,Tipico_pobre,SI
34,120000,2280,836,Excelente,SI
35,146000,2280,1456,Tipico_pobre,SI
36,376162,12858,2334,Excelente,SI
37,306000,11478,1704,Excelente,SI
38,395192,10159,1940,Excelente,SI
39,290941,12883,1544,Excelente,SI
40,220000,12182,1541,Excelente,SI
41,275000,11520,1698,Excelente,SI
42,259000,14122,1822,Excelente,SI
43,214000,10171,1535,Excelente,SI
44,611657,12919,2364,Excelente,SI
45,224000,6371,1358,Excelente,SI
46,500000,14300,2696,Excelente,SI
47,320000,13650,2250,Excelente,SI
48,319900,7658,1752,Excelente,SI
49,205000,7132,1370,Excelente,SI
50,175500,2628,1626,Excelente,SI
51,199500,18494,1324,Excelente,SI
52,160000,3203,1145,Excelente,SI
53,192000,3182,1269,Excelente,SI
54,184500,13300,1374,Excelente,SI
55,216500,7851,1960,Excelente,SI
56,185088,8577,1733,Excelente,SI
57,180000,7750,1430,Excelente,SI
58,222500,9505,2035,Excelente,SI
59,333168,14774,2599,Excelente,SI
60,355000,17433,2475,Excelente,SI
61,260400,10593,1720,Excelente,SI
62,325000,12256,2622,Excelente,SI
63,290000,11764,2270,Excelente,SI
64,221000,16770,1839,Bueno,SI
65,410000,14720,3238,Excelente,SI
66,221500,8987,1595,Excelente,SI
67,204500,9215,1218,Excelente,SI
68,215200,8640,1547,Excelente,SI
69,262500,9000,1566,Excelente,SI
70,254900,12552,1947,Excelente,SI
71,271500,10440,1468,Excelente,SI
72,233000,10142,2084,Excelente,SI
73,181000,11920,1659,Excelente,SI
74,205000,8880,2110,Excelente,SI
75,143000,8012,923,Tipico_pobre,SI
76,189000,11218,1845,Excelente,SI
77,99500,7892,918,Tipico_pobre,SI
78,125000,7175,752,Tipico_pobre,SI
79,194500,9453,1744,Excelente,SI
80,152000,9672,1097,Tipico_pobre,SI
81,171000,8400,1564,Tipico_pobre,SI
82,67500,9800,1012,Tipico_pobre,NO
83,112000,8930,1902,Tipico_pobre,SI
84,148000,11782,1155,Tipico_pobre,SI
85,138500,8450,894,Excelente,SI
86,122000,9819,900,Tipico_pobre,SI
87,133000,7500,1040,Tipico_pobre,SI
88,127000,6897,1040,Excelente,SI
89,169000,15410,1494,Excelente,SI
90,190000,10186,1923,Excelente,SI
91,362500,13143,2349,Excelente,SI
92,285000,11134,2225,Excelente,SI
93,260000,4835,1488,Excelente,SI
94,190000,3515,1680,Excelente,SI
95,155000,3215,1200,Excelente,SI
96,151000,3182,1200,Excelente,SI
97,149500,2544,1200,Excelente,SI
98,152000,2544,1236,Excelente,SI
99,222000,4403,1478,Excelente,SI
100,177500,2117,1573,Excelente,SI
101,177000,2980,1512,Excelente,SI
102,155000,2572,1416,Excelente,SI
103,147110,2403,1080,Excelente,SI
104,267916,12853,1418,Excelente,SI
105,254000,7379,1848,Excelente,SI
106,155000,4420,788,Tipico_pobre,SI
107,206000,3880,1226,Tipico_pobre,SI
108,130500,13517,1479,Excelente,SI
109,230000,8000,1492,Excelente,SI
110,218500,10456,1829,Bueno,SI
111,243500,10791,2495,Excelente,SI
112,205000,10603,1610,Bueno,SI
113,212500,18837,1891,Tipico_pobre,SI
114,196500,10421,1714,Tipico_pobre,SI
115,197500,9360,1381,Tipico_pobre,SI
